FID;osm_id;name
france_hiking_foot_routes_line.9659386;9659386;GR-T 30 Bujaruelo - Puerto de Bujaruelo - Bujaruelo
france_hiking_foot_routes_line.9656399;9656399;
france_hiking_foot_routes_line.9656398;9656398;Circuit de la Roche Beuty
france_hiking_foot_routes_line.9656397;9656397;Circuit de Moyenmont
france_hiking_foot_routes_line.9656396;9656396;
france_hiking_foot_routes_line.9656395;9656395;
france_hiking_foot_routes_line.9656394;9656394;
france_hiking_foot_routes_line.9656393;9656393;
france_hiking_foot_routes_line.9656392;9656392;
france_hiking_foot_routes_line.9656391;9656391;
france_hiking_foot_routes_line.9656390;9656390;
france_hiking_foot_routes_line.9656389;9656389;
france_hiking_foot_routes_line.9655501;9655501;Circuit des Châteaux
france_hiking_foot_routes_line.9644368;9644368;Circuit de la Vayrie
france_hiking_foot_routes_line.9643735;9643735;La Côte Baudrais
france_hiking_foot_routes_line.9642336;9642336;Saint-Pons - Col de Brest
france_hiking_foot_routes_line.9637503;9637503;Laie des Chamards
france_hiking_foot_routes_line.9637501;9637501;Chemin de Villers à Longavesne
france_hiking_foot_routes_line.9637500;9637500;Laie d'Eméville
france_hiking_foot_routes_line.9637498;9637498;Laie des Masures
france_hiking_foot_routes_line.9637497;9637497;Route de la Mariolle
france_hiking_foot_routes_line.9635022;9635022;Au fil de la Seine, variante Montivilliers - Harfleur
france_hiking_foot_routes_line.963212;963212;European long distance path E4 - part Switzerland
france_hiking_foot_routes_line.9631290;9631290;Laie de Saint-André
france_hiking_foot_routes_line.9629927;9629927;Sentier des Fontaines
france_hiking_foot_routes_line.9628450;9628450;GR 21B
france_hiking_foot_routes_line.9627013;9627013;Variante Alpine GR20
france_hiking_foot_routes_line.9622927;9622927;Circuit du Mont Calvaire
france_hiking_foot_routes_line.9614362;9614362;
france_hiking_foot_routes_line.9612938;9612938;Ballade des Treize Coupes
france_hiking_foot_routes_line.9612842;9612842;Variante Sentier de la Ligne Maginot
france_hiking_foot_routes_line.9610590;9610590;Col des Portes - Garagaï de Cagoloup
france_hiking_foot_routes_line.9610584;9610584;Col des Portes - Parking D10
france_hiking_foot_routes_line.9609475;9609475;
france_hiking_foot_routes_line.9609384;9609384;
france_hiking_foot_routes_line.9609313;9609313;
france_hiking_foot_routes_line.9609305;9609305;
france_hiking_foot_routes_line.9609297;9609297;
france_hiking_foot_routes_line.9609289;9609289;Circuit du Froschkopf
france_hiking_foot_routes_line.9609282;9609282;
france_hiking_foot_routes_line.9609281;9609281;
france_hiking_foot_routes_line.9608049;9608049;Sentier Erwin Stein
france_hiking_foot_routes_line.9608043;9608043;
france_hiking_foot_routes_line.9608035;9608035;
france_hiking_foot_routes_line.9608021;9608021;
france_hiking_foot_routes_line.9607993;9607993;
france_hiking_foot_routes_line.9607948;9607948;Circuit Archéologique d'Ernolsheim-lès-Saverne
france_hiking_foot_routes_line.9607947;9607947;Circuit du Frohnberg
